codigo_postal;municipio;pais
2328;Albacete;España
2329;Casas de Lázaro;España
2330;Alcaraz;España
2331;Robledo;España
2332;Robledo;España
2340;Robledo;España
2350;Villapalacios;España
2360;Bienservida;España
2395;Estepona;España
2400;Hellín;España
2409;Hellín;España
2410;Liétor;España
2410;Aranda de Duero;España
2420;Hellín;España
2430;Elche de la Sierra;España
2434;Letur;España
2435;Socovos;España
2436;Férez;España
2437;Socovos;España
2439;Elche de la Sierra;España
2440;Molinicos;España
2448;Bogarra;España
2448;Molinicos;España
2449;Elche de la Sierra;España
2449;Molinicos;España
2450;Riópar;España
2459;Riópar;España
2460;Villaverde de Guadalimar;España
2461;Cotillas;España
2462;Riópar;España
2462;Villaverde de Guadalimar;España
2470;Elche de la Sierra;España
2480;Yeste;España
2482;Yeste;España
2484;Yeste;España
2485;Yeste;España
2486;Yeste;España
2487;Yeste;España
2488;Yeste;España
2489;Yeste;España
2490;Hellín;España
2498;Hellín;España
2499;Hellín;España
2500;Tobarra;España
2510;Chinchilla de Monte-Aragón;España
2510;Pozo Cañada;España
2511;Albacete;España
2512;Albacete;España
2513;Tobarra;España
2514;Tobarra;España
2520;Chinchilla de Monte-Aragón;España
2529;Chinchilla de Monte-Aragón;España
2530;Nerpio;España
2534;Nerpio;España
2535;Nerpio;España
2536;Nerpio;España
2537;Nerpio;España
2538;Nerpio;España
2539;Nerpio;España
2600;Villarrobledo;España
2610;Bonillo, El;España
2611;Ossa de Montiel;España
2612;Munera;España
2612;Villarrobledo;España
2614;Ballestero, El;España
2620;Minaya;España
2630;Roda, La;España
2636;Villalgordo del Júcar;España
2636;Casas de Benítez;España
2637;Fuensanta;España
2638;Montalvos;España
2639;Barrax;España
2639;Roda, La;España
2640;Almansa;España
2650;Montealegre del Castillo;España
2651;Fuente-Álamo;España
2652;Ontur;España
2653;Albatana;España
2660;Caudete;España
2660;Villarrobledo;España
2690;Alpera;España
2690;Higueruela;España
2691;Bonete;España
2692;Chinchilla de Monte-Aragón;España
2692;Pétrola;España
2693;Corral-Rubio;España
2693;Pétrola;España
2694;Higueruela;España
2695;Chinchilla de Monte-Aragón;España
2696;Hoya-Gonzalo;España
2999;Ayna;España
3001;Alicante/Alacant;España
3002;Alicante/Alacant;España
3003;Alicante/Alacant;España
3004;Alicante/Alacant;España
3005;Alicante/Alacant;España
3006;Alicante/Alacant;España
3007;Alicante/Alacant;España
3008;Alicante/Alacant;España
3009;Alicante/Alacant;España
3010;Alicante/Alacant;España
3011;Alicante/Alacant;España
3012;Alicante/Alacant;España
3013;Alicante/Alacant;España
3014;Alicante/Alacant;España
3015;Alicante/Alacant;España
3016;Alicante/Alacant;España
3100;Jijona/Xixona;España
3108;Torremanzanas/Torre de les Maçanes, la;España
3109;Tibi;España
3110;Mutxamel;España
3111;Busot;España
3112;Alicante/Alacant;España
3113;Alicante/Alacant;España
3113;Elche/Elx;España
3114;Alicante/Alacant;España
3115;Alicante/Alacant;España
3119;Orihuela;España
3130;Santa Pola;España
3138;Alicante/Alacant;España
3139;Elche/Elx;España
3140;Guardamar del Segura;España
3150;Dolores;España
3158;Catral;España
3158;Crevillent;España
3159;Daya Nueva;España
3160;Almoradí;España
3169;Algorfa;España
3170;Rojales;España
3176;Algorfa;España
3177;Daya Vieja;España
3177;Formentera del Segura;España
3177;San Fulgencio;España
3178;Benijófar;España
3179;Almoradí;España
3179;Formentera del Segura;España
3181;Torrevieja;España
3182;Torrevieja;España
3183;Torrevieja;España
3184;Torrevieja;España
3185;Penàguila;España
3185;Torrevieja;España
3186;Torrevieja;España
3187;Montesinos, Los;España
3188;Torrevieja;España
3189;Orihuela;España
3190;Orihuela;España
3190;Pilar de la Horadada;España
3191;Pilar de la Horadada;España
3193;San Miguel de Salinas;España
3194;Elche/Elx;España
3195;Elche/Elx;España
3201;Elche/Elx;España
3202;Elche/Elx;España
3203;Elche/Elx;España
3204;Elche/Elx;España
3205;Elche/Elx;España
3206;Elche/Elx;España
3207;Elche/Elx;España
3208;Elche/Elx;España
3290;Elche/Elx;España
3291;Elche/Elx;España
3292;Elche/Elx;España
3293;Elche/Elx;España
3294;Elche/Elx;España
3295;Elche/Elx;España
3296;Elche/Elx;España
3300;Orihuela;España
3310;Jacarilla;España
3311;Orihuela;España
3312;Orihuela;España
3313;Orihuela;España
3314;Orihuela;España
3315;Orihuela;España
3316;Benferri;España
3316;Orihuela;España
3317;Callosa de Segura;España
3317;Orihuela;España
3319;Orihuela;España
3320;Elche/Elx;España
3321;Orihuela;España
3322;Orihuela;España
3325;Orihuela;España
3330;Crevillent;España
3339;Crevillent;España
3340;Albatera;España
3348;Granja de Rocamora;España
3349;San Isidro;España
3350;Cox;España
3360;Callosa de Segura;España
3369;Orihuela;España
3369;Rafal;España
3370;Redován;España
3380;Bigastro;España
3380;Orihuela;España
3390;Benejúzar;España
3400;Villena;España
3408;Villena;España
3409;Alicante/Alacant;España
3409;Cañada;España
3409;Salinas;España
3409;Villena;España
3410;Biar;España
3420;Castalla;España
3430;Onil;España
3440;Ibi;España
3450;Banyeres de Mariola;España
3460;Beneixama;España
3469;Beneixama;España
3469;Campo de Mirra/Camp de Mirra, el;España
3501;Benidorm;España
3502;Benidorm;España
3503;Benidorm;España
3509;Finestrat;España
3510;Callosa d'en Sarrià;España
3516;Benimantell;España
3517;Beniardá;España
3517;Benifato;España
3517;Confrides;España
3517;Castell de Guadalest, el;España
3518;Bolulla;España
3518;Tàrbena;España
3520;Polop;España
3530;Nucia, la;España
3540;Alicante/Alacant;España
3550;Alicante/Alacant;España
3550;Sant Joan d'Alacant;España
3559;Alicante/Alacant;España
3560;Campello, el;España
3569;Aigües;España
3570;Villajoyosa/Vila Joiosa, la;España
3578;Relleu;España
3579;Orxeta;España
3579;Sella;España
3580;Alfàs del Pi, l';España
3581;Alfàs del Pi, l';España
3590;Altea;España
3599;Altea;España
3600;Elda;España
3610;Petrer;España
3630;Sax;España
3638;Salinas;España
3639;Villena;España
3640;Monóvar/Monòver;España
3649;Monóvar/Monòver;España
3650;Pinós, el/Pinoso;España
3657;Pinós, el/Pinoso;España
3657;Yecla;España
3658;Pinós, el/Pinoso;España
3658;Salinas;España
3659;Pinós, el/Pinoso;España
3660;Novelda;España
3660;Oliva, La;España
3668;Algueña;España
3669;Romana, la;España
3670;Monforte del Cid;España
3679;Monforte del Cid;España
3680;Aspe;España
3688;Fondó de les Neus, el/Hondón de las Nieves;España
3689;Fondó de les Neus, el/Hondón de las Nieves;España
3689;Hondón de los Frailes;España
3689;Orihuela;España
3690;San Vicente del Raspeig/Sant Vicent del Raspeig;España
3698;Agost;España
3699;Alicante/Alacant;España
3700;Dénia;España
3709;Dénia;España
3710;Calp;España
3720;Benissa;España
3723;Alcalalí;España
3724;Teulada;España
3725;Teulada;España
3726;Benitachell/Poble Nou de Benitatxell, el;España
3727;Xaló;España
3728;Alcalalí;España
3729;Llíber;España
3729;Senija;España
3730;Jávea/Xàbia;España
3737;Jávea/Xàbia;España
3738;Jávea/Xàbia;España
3739;Jávea/Xàbia;España
3740;Gata de Gorgos;España
3749;Dénia;España
3750;Pedreguer;España
3759;Alcalalí;España
3759;Beniarbeig;España
3759;Benidoleig;España
3760;Ondara;España
3769;Benimeli;España
3769;Ràfol d'Almúnia, el;España
3769;Sanet y Negrals;España
3770;Dénia;España
3770;Verger, el;España
3778;Beniarbeig;España
3779;Dénia;España
3779;Poblets, els;España
3780;Dénia;España
3780;Pego;España
3780;Ràfol d'Almúnia, el;España
3786;Atzúbia, l';España
3787;Vall de Gallinera;España
3788;Vall d'Alcalà, la;España
3788;Vall de Gallinera;España
3789;Vall d'Ebo, la;España
3790;Orba;España
3791;Orba;España
3791;Vall de Laguar, la;España
3792;Murla;España
3792;Orba;España
3792;Parcent;España
3793;Castell de Castells;España
3794;Benigembla;España
3795;Orba;España
3795;Sagra;España
3795;Tormos;España
3800;Alcoy/Alcoi;España
3801;Alcoy/Alcoi;España
3802;Alcoy/Alcoi;España
3803;Alcoy/Alcoi;España
3804;Alcoy/Alcoi;España
3810;Benilloba;España
3811;Quatretondeta;España
3811;Gorga;España
3812;Balones;España
3812;Benimassot;España
3812;Millena;España
3813;Facheca;España
3813;Famorca;España
3813;Tollos;España
3814;Alcoleja;España
3814;Benasau;España
3815;Penàguila;España
3816;Benifallim;España
3818;Alcoy/Alcoi;España
3819;Alcoy/Alcoi;España
3820;Cocentaina;España
3827;Almudaina;España
3827;Benillup;España
3827;Benimarfull;España
3828;Planes;España
3829;Alqueria d'Asnar, l';España
3829;Cocentaina;España
3830;Muro de Alcoy;España
3837;Agres;España
3838;Alfafara;España
3839;Muro de Alcoy;España
3840;Gaianes;España
3841;Alcocer de Planes;España
3850;Beniarrés;España
3860;Lorcha/Orxa, l';España
3870;Cocentaina;España
4001;Almería;España
4002;Almería;España
4003;Almería;España
4004;Almería;España
4005;Almería;España
4006;Almería;España
4007;Almería;España
4008;Almería;España
4009;Almería;España
4100;Níjar;España
4110;Níjar;España
4113;Níjar;España
4114;Lucainena de las Torres;España
4114;Níjar;España
4115;Níjar;España
4116;Níjar;España
4117;Níjar;España
4118;Níjar;España
4119;Níjar;España
4120;Almería;España
4130;Almería;España
4131;Almería;España
4140;Carboneras;España
